job_title,role,industry
 Manager Procurement,Purchase/Material Management,"Advertising, PR, MR, Event Management"
 Senior Software Engineer - UI Development - Javascript/angularjs,Programming & Design,"IT-Software, Software Services"
 Telle Caller,Voice,"Recruitment, Staffing"
 Documentation Executive,,"Architecture, Interior Design"
 Restaurant Cashier,Front Office/Customer Care,"Travel , Hotels , Restaurants , Airlines , Railways"
" Opening For Dot Net Developer @ Baner, Pune",Other,"IT-Software, Software Services"
 Management Trainee,Other,Insurance
 Junior Company Secretary,Programming & Design,"Medical, Healthcare, Hospitals"
 Production Manager,Production/Manufacturing/Maintenance,"Internet, Ecommerce"
 Have Confidence to Convince Customer Then Join Adeeba (Inbound Voice),Voice,"IT-Software, Software Services"
 Business Transformation Consultant,,"Strategy, Management Consulting Firms"
 Content Editor,Content Development,"Media, Entertainment, Internet"
 Graphics Hardware Engineer,Programming & Design,"IT-Software, Software Services"
 Visual Designer,Creative,"IT-Software, Software Services"
 Web Designer,Programming & Design,"IT-Software, Software Services"
 ACCOUNTS EXECUTIVES,Accounts,"Industrial Products, Heavy Machinery"
 Finance & Accounting Associates,Accounts,"Banking, Financial Services, Broking"
 DEALER - RETAIL BROKING,Institutional Sales,"Accounting, Finance"
 SENIOR SOFTWARE DEVELOPER (MVC .NET),Programming & Design,"IT-Software, Software Services"
 Client Relationship Partner,Retail/Personal Banking,"Banking, Financial Services, Broking"
" Sales Manger Opening In An E-commerce Industry- (mumbai, Pune)",Institutional Sales,"Internet, Ecommerce"
 Dot Net Developer,Programming & Design,"IT-Software, Software Services"
 Lead Business Systems Analyst,,"Banking, Financial Services, Broking"
 Sr. Manager- Art in Mumbai || Opportunity @ Client side,Senior Management,"Internet, Ecommerce"
 Hiring for Domestic/ International Processes.contact the HR Asap,Voice,"BPO, Call Centre, ITeS"
 Sr . Manager,,"Recruitment, Staffing"
 Manager Learning & Development,Senior Management,"Semiconductors, Electronics"
 Urgent Requirement for CCE Telesales for Night Shift.,Voice,"IT-Software, Software Services"
 Vancancy for Inbound Tech Sales Executive,Voice,"IT-Software, Software Services"
 Infrastructure SSO Architect- Looking For Early Joiners,System Design/Implementation/ERP/CRM,"IT-Software, Software Services"
 Sr. Architect / Project Position: Sr. Architect / Project,Architectural Services,"Real Estate, Property"
Nosql (couchdb/redis/bigtable/dynamodb),Programming & Design,IT-Software / Software Services
 Immidate Opening for Voice & Accent Trainer @ Vee Technologies,Training,"BPO, Call Centre, ITeS"
 Walk- in | Hdfc Life | We are Hiring Freshers:5th till 20th Aug@ Delhi,Retail Sales,Insurance
 AIT Global India Private Limited is Looking For JAVA Developer.,Programming & Design,"IT-Software, Software Services"
" Cloud Engineer Cloud Based IT MNC In Gurgaon , salary 7 - 8 LPA",Programming & Design,"Real Estate, Property"
 Relationship Manager - Bangalore,Retail Sales,"Education, Teaching, Training"
 Territory Sales Manager-Passive Networking-Mumbai/Bangalore/Hyderabad,Corporate Sales,"Electricals, Switchgears"
 Business Development Manager,Retail Sales,"IT-Software, Software Services"
 Senior Manager-fundraising,Operations/Processes/Finance/Legal,"Medical, Healthcare, Hospitals"
 Bulk Hiring Travel Sales Consultants US /UK Shifts Call ASAP,Voice,"BPO, Call Centre, ITeS"
 UI Developer (Frontend Developer),Programming & Design,"Construction, Engineering, Cement, Metals"
 Netsuite Technical Consultant,System Design/Implementation/ERP/CRM,"IT-Software, Software Services"
"Java Full Stack – Technical Lead, Senior Engineer",Programming & Design,IT-Software / Software Services
 ADM - External Affairs &amp; CSR - Bangalore,CSR & Sustainability,"Automobile, Auto Anciliary, Auto Components"
 Immediate Opening Asp.net MVC Developers For Mumbai (worli),Programming & Design,"IT-Software, Software Services"
 Home loan,Retail/Personal Banking,"Recruitment, Staffing"
" Sr. Resident, General & Laparoscopic Surgery",Medical Professional,"Medical, Healthcare, Hospitals"
 Angular Developer - Fulcrum Digital,Programming & Design,"IT-Software, Software Services"
,,
 Devops Engineer - Tools & Automation,Programming & Design,"IT-Software, Software Services"
 Great Opportunity To join top MNCs in Kolkata! Grab them While it last,Voice,"BPO, Call Centre, ITeS"
 QA Functional Testing,Programming & Design,"IT-Software, Software Services"
 Sales Engineer,Retail Sales,"Automobile, Auto Anciliary, Auto Components"
Software Engineer - Unity Developer,Programming & Design,Telecom / ISP
 Associate Level 1 - Fund Accounting,Accounts,"Banking, Financial Services, Broking"
 Associate Principal Analyst - Network Security Research,System Design/Implementation/ERP/CRM,"IT-Software, Software Services"
 Training Specialist,,"Telcom, ISP"
 Urgent Opening For Field Recruiter ,HR/ Recruitment / IR,"Recruitment, Staffing"
 JAVA Developer,Programming & Design,"Internet, Ecommerce"
 Urgent Openings For Pharma Freshers,Medical Professional,"Pharma, Biotech, Clinical Research"
 Front End Developer - Wordpress/html/css/javascript,Programming & Design,"IT-Software, Software Services"
